Application Name:	ZOOMA (Automatic Ontology Mapper)
Version:	2.0
Run at:	13:50.34, 03.10.23
Run from:	http://www.ebi.ac.uk/fgpt/zooma


PROPERTY TYPE	PROPERTY VALUE	ONTOLOGY TERM LABEL(S)	ONTOLOGY TERM SYNONYM(S)	CONFIDENCE	ONTOLOGY TERM(S)	ONTOLOGY(S)	SOURCE(S)	STUDY
[NO TYPE]	 'Hyalophora cecropia',	Hyalophora cecropia		Medium	NCBITaxon_7123	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Hyalophora cecropia',	Hyalophora		Medium	NCBITaxon_7122	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Primates sp. BOLD:AAA0001',	Primates sp. BOLD:AAA0001		Medium	NCBITaxon_976298	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Primates sp. BOLD:AAA0001',	Primates sp. BOLD:AAA0001		Medium	VTO_0011797	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'nematode',	nematode		Good	IDOMAL_0001272	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/idomal.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'lowland gorilla',	Western lowland gorilla simian foamy virus		Good	NCBITaxon_2170204	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Tupaia belangeri',	Tupaia belangeri		Medium	NCBITaxon_37347	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Tupaia belangeri',	Tupaia belangeri		Medium	VTO_0011598	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Philosamia ricini',	Philosamia cynthia ricini nucleopolyhedrovirus virus		Good	NCBITaxon_1234615	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Pig',	pig breed		Medium	LBO_0000003	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/vg/faang	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Pig',	Pig crossbreed		Medium	LBO_0001040	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/vg/faang	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Panthera tigris jacksoni',	Panthera tigris jacksoni		Medium	NCBITaxon_419130	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Panthera tigris jacksoni',	Panthera tigris		Medium	VTO_0010827	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'bobwhite quail',	Colinus virginianus		Good	NCBITaxon_9014	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/foodon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'bivalves',	Bivalvia		Good	NCBITaxon_6544	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/pso.owl#	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Anopheles gambiae',	Anopheles gambiae		Good	NCBITaxon_7165	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
